Zeit 	Leistung_Modell
45153.33333 	0
45153.375 	0
45153.41667 	0
45153.45833 	0
45153.5 	0
45153.54167 	0
45153.58333 	0
45153.625 	0
45153.66667 	0
45153.70833 	0
45153.75 	0
45153.79167 	0
45153.83333 	0
45153.875 	0
45153.91667 	0
45153.95833 	0
45154 	0
45154.04167 	0
45154.08333 	0
45154.125 	0
45154.16667 	0
45154.20833 	0
45154.25 	0
45154.29167 	0
45154.33333 	0
45154.375 	0
45154.41667 	0
45154.45833 	0
45154.5 	0
45154.54167 	0
45154.58333 	0
45154.625 	0
45154.66667 	0
45154.70833 	0
45154.75 	0
45154.79167 	0
45154.83333 	0
45154.875 	0
45154.91667 	0
45154.95833 	0
45155 	0
45155.04167 	0
45155.08333 	0
45155.125 	0
45155.16667 	0
45155.20833 	0
45155.25 	0
45155.29167 	0
45155.33333 	0
45155.375 	0
45155.41667 	0
45155.45833 	0
45155.5 	0
45155.54167 	0
45155.58333 	0
45155.625 	0
45155.66667 	0
45155.70833 	0
45155.75 	0
45155.79167 	0
45155.83333 	0
45155.875 	0
45155.91667 	0
45155.95833 	0
45156 	0
45156.04167 	0
45156.08333 	0
45156.125 	0
45156.16667 	0
45156.20833 	0
45156.25 	0
45156.29167 	0
45156.33333 	0
45156.375 	0
45156.41667 	0
45156.45833 	0
45156.5 	4.72729382
45156.54167 	4.72729382
45156.58333 	4.72729382
45156.625 	4.72729382
45156.66667 	4.72729382
45156.70833 	4.72729382
45156.75 	4.72729382
45156.79167 	4.72729382
45156.83333 	4.72729382
45156.875 	4.72729382
45156.91667 	4.72729382
45156.95833 	4.72729382
45157 	4.72729382
45157.04167 	4.72729382
45157.08333 	4.72729382
45157.125 	4.72729382
45157.16667 	4.72729382
45157.20833 	4.72729382
45157.25 	4.72729382
45157.29167 	4.72729382
45157.33333 	4.72729382
45157.375 	4.72729382
45157.41667 	4.72729382
45157.45833 	4.72729382
45157.5 	4.72729382
45157.54167 	4.72729382
45157.58333 	4.72729382
45157.625 	4.72729382
45157.66667 	4.72729382
45157.70833 	4.72729382
45157.75 	4.72729382
45157.79167 	4.72729382
45157.83333 	4.72729382
45157.875 	4.72729382
45157.91667 	4.72729382
45157.95833 	4.72729382
45158 	4.72729382
45158.04167 	4.72729382
45158.08333 	4.72729382
45158.125 	4.72729382
45158.16667 	4.72729382
45158.20833 	4.72729382
45158.25 	4.72729382
45158.29167 	4.72729382
45158.33333 	4.72729382
45158.375 	4.72729382
45158.41667 	4.72729382
45158.45833 	4.72729382
45158.5 	4.72729382
45158.54167 	4.72729382
45158.58333 	4.72729382
45158.625 	4.72729382
45158.66667 	4.72729382
45158.70833 	4.72729382
45158.75 	4.72729382
45158.79167 	4.72729382
45158.83333 	4.72729382
45158.875 	4.72729382
45158.91667 	4.72729382
45158.95833 	4.72729382
45159 	4.72729382
45159.04167 	4.72729382
45159.08333 	4.72729382
45159.125 	4.72729382
45159.16667 	4.72729382
45159.20833 	4.72729382
45159.25 	4.72729382
45159.29167 	4.72729382
45159.33333 	4.72729382
45159.375 	4.72729382
45159.41667 	4.72729382
45159.45833 	4.72729382
45159.5 	4.72729382
45159.54167 	4.72729382
45159.58333 	4.72729382
45159.625 	4.72729382
45159.66667 	4.72729382
45159.70833 	4.72729382
45159.75 	4.72729382
45159.79167 	4.72729382
45159.83333 	4.72729382
45159.875 	4.72729382
45159.91667 	4.72729382
45159.95833 	4.72729382
45160 	4.72729382
45160.04167 	4.72729382
45160.08333 	4.72729382
45160.125 	4.72729382
45160.16667 	4.72729382
45160.20833 	4.72729382
45160.25 	4.72729382
45160.29167 	4.72729382
45160.33333 	4.72729382
45160.375 	4.72729382
45160.41667 	4.72729382
45160.45833 	4.72729382
45160.5 	4.72729382
45160.54167 	4.72729382
45160.58333 	4.72729382
45160.625 	4.72729382
45160.66667 	4.72729382
45160.70833 	4.72729382
45160.75 	4.72729382
45160.79167 	4.72729382
45160.83333 	4.72729382
45160.875 	4.72729382
45160.91667 	4.72729382
45160.95833 	4.72729382
45161 	4.72729382
45161.04167 	4.72729382
45161.08333 	4.72729382
45161.125 	4.72729382
45161.16667 	4.72729382
45161.20833 	4.72729382
45161.25 	4.72729382
45161.29167 	4.72729382
45161.33333 	4.72729382
45161.375 	4.72729382
45161.41667 	4.72729382
45161.45833 	4.72729382
45161.5 	4.72729382
45161.54167 	4.72729382
45161.58333 	4.72729382
45161.625 	4.72729382
45161.66667 	4.72729382
45161.70833 	4.72729382
45161.75 	4.72729382
45161.79167 	4.72729382
45161.83333 	4.72729382
45161.875 	4.72729382
45161.91667 	4.72729382
45161.95833 	4.72729382
45162 	4.72729382
45162.04167 	4.72729382
45162.08333 	4.72729382
45162.125 	4.72729382
45162.16667 	4.72729382
45162.20833 	4.72729382
45162.25 	4.72729382
45162.29167 	4.72729382
45162.33333 	4.72729382
45162.375 	4.72729382
45162.41667 	4.72729382
45162.45833 	4.72729382
45162.5 	4.72729382
45162.54167 	4.72729382
45162.58333 	4.72729382
45162.625 	4.72729382
45162.66667 	4.72729382
45162.70833 	4.72729382
45162.75 	4.72729382
45162.79167 	4.72729382
45162.83333 	4.72729382
45162.875 	4.72729382
45162.91667 	4.72729382
45162.95833 	4.72729382
45163 	4.72729382
45163.04167 	4.72729382
45163.08333 	4.72729382
45163.125 	4.72729382
45163.16667 	4.72729382
45163.20833 	4.72729382
45163.25 	4.72729382
45163.29167 	4.72729382
45163.33333 	4.72729382
45163.375 	4.72729382
45163.41667 	4.72729382
45163.45833 	4.72729382
45163.5 	4.72729382
45163.54167 	4.72729382
45163.58333 	4.72729382
45163.625 	4.72729382
45163.66667 	4.72729382
45163.70833 	4.72729382
45163.75 	4.72729382
45163.79167 	4.72729382
45163.83333 	4.72729382
45163.875 	4.72729382
45163.91667 	4.72729382
45163.95833 	4.72729382
45164 	4.72729382
45164.04167 	4.72729382
45164.08333 	4.72729382
45164.125 	4.72729382
